,category,ttc
0,休閒,阿公 阿嬤 俱樂部 開張 囉   大林 銀髮 俱樂部 服務   新北市 訊   這遺世 獨立 山城   坪林   依山傍水   茶香 四溢   梯田 裡 隨處可見 彎腰 身影   信手拈來 鮮嫩 茶葉   阿公 阿嬤們 今天 齊聚 大林 銀髮 俱樂部   共同 見證 銀髮族 新 樂園 啟用   活動 中   松年 大學 舞蹈班 化身 癡情 玫瑰花   歌唱 班 思念 海岸邊 想念 當年 伊人   阿公 阿嬤 熱情 活力   融化 冬季 寒冷   溫暖 心   全球 邁入 高齡 社會   台灣 亦 這波 高齡 化 列車 之中   邁入 超 高齡 社會   台灣 老年人 口 預計   NUM   萬人   因應 高齡 化 社會   新北 市政府 擬定   活躍 老化   養   積極 推動 新北市 各里 成立 銀髮 俱樂部   本區   NUM   年 相繼 成立 四間 銀髮 俱樂部 後   今年 再 新增 大林 銀髮 俱樂部   本區 再添 新 據點   坪林 區長 呂學記   議員 代表 阿公 阿嬤 一同 拉 下 紅布   轟隆轟隆 砲 聲 中 歡喜 揭牌   呂 區長 表示   山區 中 長輩 走出 家門   擴大 生活圈   積極 實現 里 一處 銀髮 俱樂部 目標   本區 每位 長者 就近 使用 休閒 設備 共餐 結交 朋友   提升 精神 生活   愈 老愈 健康   長輩 健康 晚輩 福氣   健康   活躍 老化 現在 未來 重要 使命   附件     ENG     NUM       ENG     NUM       ENG     NUM       ENG   
1,休閒,心手 相連   愛相隨   資深 優良 志工 愛心 服務站 代表 表揚大會   新北市 訊   新北 市政府 教育局 表揚 長期 學校 奉獻 心力 志 工們   於今     NUM     日 新北 市政府   NUM   樓 多功能 集會 堂 舉辦     NUM   年度 各級 學校 資深 優良 志工及 愛心 服務站 代表 表揚大會   副 市長 侯友宜 頒獎   共計   NUM   位 人員 接受 表揚   包括 長期 學校 奉獻 心力   足為 眾人 楷模   杏福志工     NUM   位   學校 資深 優良 志工   NUM   位   優良 愛心 服務站 代表   NUM   位   副 市長 侯友宜 表示   志工 能量 多寡 代表 國家 社會 進步 幸福 象徵   社會 越 先進 越 幸福   投入 志工 能量 越   打造 充滿 幸福 城市   正是 新北 市政府 年來 孜孜不倦 目標   希望 全體 市民 感受 無限 愛與 關懷   了將 幸福 化為 真實   教育 園地 裡   教育 人員 奉獻 自我   行動 感召 學生 一起 改變 世界 外   一群 求 回報 熱心 志工   無私 愛 成就 學子 健康   安全   關愛 希望 環境 裡   快樂 學習   健康成長   獲獎   NUM   位杏福志工   最 資深 志工 奶奶 新莊 區裕 民國 小葉 呂尚 奶奶     NUM   年前 她剛 做好 化療   義不容辭 投入 導護 志工   協助 維護 學童   下學 安全   三重 區 二重 國小 王林 寶華 女士   長年 遭受 富貴手 之苦   仍帶 手套 參與 圖書館 相關 工作   服務 不落人後   樂於 志工 服務 工作   服務 高達   NUM   單位   板橋 區 中山 國小陳金連 女士 社區 煎 蔥油餅 維生   收入 雖不豐   定期 捐助 學校 經費   擔任 志工 支援 學校 各項 活動   若有 小朋友 肚子餓   卻 沒帶 錢   發揮 人飢己飢 精神   請 孩子 吃 蔥油餅   鼓勵 弱勢 學童 努力 向學   學生 感受 蔥油餅 阿嬤 愛心   目前 新北市 各級 學校 志工 人數 已近   NUM   萬人   不求名利 服務 社會   參與 交通 導護   環保 業務   晨間 故事   圖書 管理   認輔 工作   健康 中心   公物 修護   環境 綠 美化 工作   發揮 志工 愛心   轉動 愛   共同 打造 幸福 校園   營造 愛的 社會   副 市長 侯友宜 感佩 本市 所有 志工 朋友   踴躍 投入 志願 服務 行 列   積極 散播 愛的 種子   共同 協助 校園 增進 社會 祥 奉獻 心 力   期待 人 加入 志工 行列   秉持   人 生命 改善     群體 貢獻 心力   信念   生命 發揮 最大 價值   資料 詳洽   教育局 特殊教育 科   陳 怡帆科   長   電話     NUM   分機   NUM   教育局 特殊教育 科   王耀德 輔導員   電話     NUM   分機   NUM     相關 圖片   
2,休閒,新北市   NUM   礦山 樂活 文化 健走 透過 健走 活動 黃金 志工 引導 解說   角度 認識 金瓜石   感受 山城 獨特 風貌   健走 結合 淨山 活動 周邊 環境保護 一分 心力     NUM       NUM   報名   額滿 為止   日期     NUM   月   NUM   月   NUM   場次   費用     NUM   元   含 礦工 便當   鐵盒 款   五坑 體驗     親子 一起 報名   優惠 報名費 每人   NUM   元   報名 專線     NUM       NUM     
3,文藝,綻放   新生代 金工 創作 聯展 本展 邀請   NUM   位 年輕   勇於 世界 發聲   接軌 國際 臺灣 新生代 金工 創作者   包括 陳 郁君   江枚芳   李恆   陳 映秀   吳淑麟   趙 永惠   作品 一窺 台灣 當代 金工 新生代 創作 成果   
4,文藝,淡水 海關 碼頭 園區   玩藝 關頭   週末 藝術 趴   營造 淡水 海關 碼頭 園區 為民眾 休憩   悠閒 放鬆 假日 去處   透過 週末 邀請 藝術   繪畫   手作 同好 現場 創作 親子 互動   免費 提供 畫具 借用   海關 碼頭 園區 成為 藝文 薈萃 之地   欣賞 淡水河 景之餘   沉浸於 藝術 氛圍 中   每月 活動 請 淡水 古蹟 博物館 網站 查詢   
5,文藝,礦山 年   開山   NUM   週年 紀念展 十六世紀 航海 時代 起即 臺灣 北部 東北部 一帶 產金   未 大規模 採金 紀錄     NUM   年代   基隆河 中 發現 砂金 引起 淘金熱   發現 九份   金瓜石 金礦 層     NUM   年 金瓜石 礦山   今 金瓜石   水 湳 洞   大規模 系統性 探礦   採礦   至今 正逢 開山   NUM   週年   本館 特別 推出   礦山 年   開山   NUM   週年 紀念展   透過 礦山 歷史沿革 照片 圖像 來訪 民眾 了解 水金 礦山 開山 至今   NUM   年 演變 發展   角度 認識 臺灣 金 礦山   開山 歷史   展區   本館 煉金樓   NUM   樓特 展室   以大 歷史觀 敘述 礦業 發展 變革 歷史 事件   透過 歷史 照片     NUM   世紀 前 臺灣 產金   開山 十週年 紀念   基隆 金山 形成   臺 陽 鑛 業 株式會社   東亞 第一 貴金屬 礦山   臺灣 金屬 鑛 業 公司 經營 時期 現今   娓娓 道 出水 金九 礦山 開山 至今   NUM   年 演變 發展   角度 傳遞 臺灣 金 礦山 人文 價值   山城 記憶   展區   金瓜石 勸濟堂   展出 老照片 徵集 成果   規劃 礦山 節慶   聚落   交通   學校   娛樂 醫療 主題     NUM   位 臺   日 耆老 提供 照片 中   看到 昔日 山城 民俗 節慶   聚落 景觀   學校 校舍   車站 已 復 景象   人 懷念   
6,文藝,  NUM   臺灣 陶藝 獎     NUM   臺灣 陶藝 獎   分為   陶藝 成就獎   陶藝 創作獎     陶藝 新銳 獎   三大 獎項   本展 展出 成就 獎得主 劉鎮洲 年輕 時 至今 經典作     NUM   件 獲 創作獎 精采 創作 新銳 獎得主 盧嬿宇   胡慧琴 近年 代表作   值得一看   
7,公告,國際 糧農組織     ENG     全球 資訊 預警系統   NUM   年   NUM   月   NUM   日 發出 特別 警訊   吳郭魚 湖泊 病函轉 行政院 農業 委員會 漁業 署 漁業 署   國際 糧農組織     ENG     全球 資訊 預警系統   NUM   年   NUM   月   NUM   日 發出 特別 警訊   吳郭魚 湖泊 病     ENG       ENG       ENG     以下 簡稱   ENG     養殖 野生 吳郭魚 中 傳播   避免 外來 病毒感染   惠請 再 加強 宣導 周知   勿 購買 來源不明 魚苗 並勿 過度 集中 高密度 放養 吳郭魚   養殖戶 發生 吳郭魚 異常 大量 死亡 情事   應立即 通報 本所 新北 市政府 動物 保護 防疫 處 防範 疫病 擴大 蔓延   發佈 課室   經建課 
8,休閒,舉辦     NUM   新北 一起 運動     ENG   起好稅   慶祝 稅務 節 活動   NUM   年   NUM   月   NUM   日   星期六   下午   NUM   時   NUM   分   NUM   時   NUM   分   新北市 新莊 體育場 林蔭大道   陽光 草坪   舉辦     NUM   新北 一起 運動     ENG   起好稅   慶祝 稅務 節 活動   摸彩 獎項 豐富   活動 詳情 刊登 本處 粉絲團   稅不著   呼叫 暗光 鳥   ENG       ENG       ENG       ENG     NUM     ENG     請多加 分享   
9,公告,  NUM   太麻里   忘憂 一夏   攝影 比賽 詳情 可至 臺東縣 太麻里 網站     ENG       ENG       ENG       ENG       ENG       ENG     ENG       ENG       ENG     ENG       NUM     查詢 
